data	versione	count	percent	histogram
2019-06-21	QGIS_3.8.0	58	6.48	******************
2019-02-22	QGIS_3.6.0	96	10.73	*******************************
2018-10-26	QGIS_3.4-LTR	77	8.60	*************************
2018-06-22	QGIS_3.2.0	73	8.16	***********************
2018-02-23	QGIS_3.0.0	154	17.21	**************************************************
2016-10-21	QGIS_2.18.0	23	2.57	*******
2016-07-08	QGIS_2.16.0	93	10.39	******************************
2016-02-26	QGIS_2.14.0	66	7.37	*********************
2015-10-23	QGIS_2.12.0	47	5.25	***************
2015-06-26	QGIS_2.10.0	30	3.35	*********
2015-02-20	QGIS_2.8.0	34	3.80	***********
2014-11-01	QGIS_2.6.0	39	4.36	************
2014-06-27	QGIS_2.4.0	19	2.12	******
2014-02-22	QGIS_2.2.0	31	3.46	**********
2013-09-08	QGIS_2.0.0	55	6.15	*****************
