versione,count,percent,histogram
QGIS_2.00.0,55,6.15,*****************
QGIS_2.02.0,31,3.46,**********
QGIS_2.04.0,19,2.12,******
QGIS_2.06.0,39,4.36,************
QGIS_2.08.0,34,3.80,***********
QGIS_2.10.0,30,3.35,*********
QGIS_2.12.0,47,5.25,***************
QGIS_2.14.0,66,7.37,*********************
QGIS_2.16.0,93,10.39,******************************
QGIS_2.18.0,23,2.57,*******
QGIS_3.00.0,154,17.21,**************************************************
QGIS_3.02.0,73,8.16,***********************
QGIS_3.06.0,96,10.73,*******************************
QGIS_3.08.0,58,6.48,******************
QGIS_3.4-LTR,77,8.60,*************************
