 itemsNumber	version	feature	description
     1	/en/qgis/version/2.10/	Symbology	Match categories to existing styles
     2	/en/qgis/version/2.10/	Symbology	Data defined properties for font marker 
     3	/en/qgis/version/2.10/	Symbology	Visualise and modify the graduated renderer using a histogram
     4	/en/qgis/version/2.10/	Symbology	Vary symbol sizes using the graduated renderer
     5	/en/qgis/version/2.10/	Symbology	New option for preventing the automatic clipping of features to the map extent
     6	/en/qgis/version/2.10/	Symbology	Size scale and rotation have been removed from the advanced menu
     7	/en/qgis/version/2.10/	Symbology	Size, rotation and stroke-width expressions at the symbollist level
     8	/en/qgis/version/2.10/	Symbology	Live layer effects for layers and symbol layers
     9	/en/qgis/version/2.10/	Labelling	&quot;Follow point&quot; alignment for multiline labels
    10	/en/qgis/version/2.10/	Diagrams	Diagram improvements
    11	/en/qgis/version/2.10/	Digitising	Improved geometry rotation tool
    12	/en/qgis/version/2.10/	Data Management	Virtual fields are now updatable
    13	/en/qgis/version/2.10/	Data Management	Line edit with auto-completer for ValueRelation edit widget
    14	/en/qgis/version/2.10/	Data Management	Improvements to DB Manager
    15	/en/qgis/version/2.10/	Data Management	Filter chaining for relation reference widget
    16	/en/qgis/version/2.10/	Map Composer	Add scalebar sizing mode to fit a desired scalebar width
    17	/en/qgis/version/2.10/	Analysis Tools	New statistical summary dock widget
    18	/en/qgis/version/2.10/	Analysis Tools	Use logarithmic functions in the raster calculator
    19	/en/qgis/version/2.10/	Analysis Tools	New zonal statistics features
    20	/en/qgis/version/2.10/	Processing	More uniform and predictable names for processing outputs
    21	/en/qgis/version/2.10/	Browser	New browser properties widget
    22	/en/qgis/version/2.10/	Browser	New browser icon
    23	/en/qgis/version/2.10/	General	Join parameters can now be edited
    24	/en/qgis/version/2.10/	General	Layers with joins can now be filtered
    25	/en/qgis/version/2.10/	General	General improvements
    26	/en/qgis/version/2.10/	General	Improved handling of potential project file overwrites
    27	/en/qgis/version/2.10/	General	New geometry engine
    28	/en/qgis/version/2.10/	Data Providers	DXF Export Improvements
    29	/en/qgis/version/2.10/	Data Providers	PostGIS provider side expression filters
    30	/en/qgis/version/2.10/	QGIS Server	Support for tolerance parameter in WMS GetFeatureInfo requests
    31	/en/qgis/version/2.10/	QGIS Server	GetFeature without geometry 
    32	/en/qgis/version/2.10/	Programmability	Improvements for programmers
     1	/en/qgis/version/2.12.0/	Symbology	Export thumbnails from style manager
     2	/en/qgis/version/2.12.0/	Symbology	New option for limiting size in mm when using map unit sizes
     3	/en/qgis/version/2.12.0/	Symbology	Improvements to displacement renderer
     4	/en/qgis/version/2.12.0/	Symbology	All color ramps can now be edited
     5	/en/qgis/version/2.12.0/	Symbology	Improved handling of SVG marker outlines
     6	/en/qgis/version/2.12.0/	Symbology	Add pixels as option for all symbology size unit choices
     7	/en/qgis/version/2.12.0/	Labelling	Data defined quadrant when in &quot;around point&quot; mode
     8	/en/qgis/version/2.12.0/	Labelling	Draw only labels which fit inside polygons
     9	/en/qgis/version/2.12.0/	Labelling	Control priority of labeling obstacles
    10	/en/qgis/version/2.12.0/	Labelling	New options to control how polygon layers act as obstacles
    11	/en/qgis/version/2.12.0/	Labelling	Data defined control over label priority
    12	/en/qgis/version/2.12.0/	Labelling	Option for obstacle-only layers
    13	/en/qgis/version/2.12.0/	Labelling	Rule-based labeling
    14	/en/qgis/version/2.12.0/	Digitising	Digitising improvements
    15	/en/qgis/version/2.12.0/	Data Management	DBManager Improvements
    16	/en/qgis/version/2.12.0/	Data Management	Conditional formatting for attribute table cells
    17	/en/qgis/version/2.12.0/	Data Management	Support for relative paths in widgets 
    18	/en/qgis/version/2.12.0/	Map Composer	Atlas navigation improvements
    19	/en/qgis/version/2.12.0/	Map Composer	Custom format for grid annotations
    20	/en/qgis/version/2.12.0/	Map Composer	Multiline text handling and automatic text wrapping in composer attribute tables
    21	/en/qgis/version/2.12.0/	Map Composer	Advanced customisation of cell background color 
    22	/en/qgis/version/2.12.0/	Map Composer	Add fit page to contents option and options for cropping exports to contents
    23	/en/qgis/version/2.12.0/	Map Composer	Force vector layers to render as a raster images
    24	/en/qgis/version/2.12.0/	Map Composer	Data defined control over map layers and style presets
    25	/en/qgis/version/2.12.0/	Map Composer	Option to hide pages from view/export 
    26	/en/qgis/version/2.12.0/	Analysis Tools	Added number of vertices to derived fields in identify tool
    27	/en/qgis/version/2.12.0/	Analysis Tools	Raster alignment tool
    28	/en/qgis/version/2.12.0/	Analysis Tools	Geometry Checker and Geometry Snapper plugins
    29	/en/qgis/version/2.12.0/	Application and Project Options	Encrypted password management
    30	/en/qgis/version/2.12.0/	Browser	Improvements to PostGIS connections in browser
    31	/en/qgis/version/2.12.0/	General	Filtering for field values in expression widget
    32	/en/qgis/version/2.12.0/	General	New welcome screen
    33	/en/qgis/version/2.12.0/	General	Ongoing improvements to code quality
    34	/en/qgis/version/2.12.0/	General	Advanced settings editor
    35	/en/qgis/version/2.12.0/	General	Mutually exclusive layer tree groups
    36	/en/qgis/version/2.12.0/	General	User Interface Theme support
    37	/en/qgis/version/2.12.0/	General	New expression functions in 2.12
    38	/en/qgis/version/2.12.0/	General	Variables in expressions
    39	/en/qgis/version/2.12.0/	Data Providers	PostGIS provider improvements
    40	/en/qgis/version/2.12.0/	QGIS Server	QGIS Server Python API
    41	/en/qgis/version/2.12.0/	QGIS Server	getMap in dxf format
    42	/en/qgis/version/2.12.0/	Plugins	Update of the GRASS plugin
    43	/en/qgis/version/2.12.0/	Programmability	Open scripts in external editor
    44	/en/qgis/version/2.12.0/	Programmability	Maptools moved from app-&gt;gui
    45	/en/qgis/version/2.12.0/	Programmability	Editing layers via `with edit(layer):`
    46	/en/qgis/version/2.12.0/	Programmability	New API for labeling engine (QgsLabelingEngineV2) 
    47	/en/qgis/version/2.12.0/	Programmability	New classes for PyQGIS programs
     1	/en/qgis/version/2.14.0/	User Interface	Attribute table can be refreshed
     2	/en/qgis/version/2.14.0/	User Interface	Directly set renderer and class symbol colors from context menu in legend
     3	/en/qgis/version/2.14.0/	User Interface	Edit legend symbols directly from layer tree
     4	/en/qgis/version/2.14.0/	User Interface	Show/hide all legend items via the the context menu
     5	/en/qgis/version/2.14.0/	Symbology	Size assistant for varying line width
     6	/en/qgis/version/2.14.0/	Symbology	Support for transparency in SVG color parameters
     7	/en/qgis/version/2.14.0/	Symbology	Easy duplication of symbol layers
     8	/en/qgis/version/2.14.0/	Symbology	Geometry generator symbols
     9	/en/qgis/version/2.14.0/	Symbology	2.5D Renderer 
    10	/en/qgis/version/2.14.0/	Symbology	Allow definition of rendering order for features
    11	/en/qgis/version/2.14.0/	Labelling	&quot;Cartographic&quot; placement mode for point labels
    12	/en/qgis/version/2.14.0/	Labelling	Applying label distance from symbol bounds 
    13	/en/qgis/version/2.14.0/	Labelling	Control over label rendering order 
    14	/en/qgis/version/2.14.0/	Labelling	Actual rendered symbol is now considered as an obstacle for point feature labels 
    15	/en/qgis/version/2.14.0/	Digitising	Configurable rubber band color
    16	/en/qgis/version/2.14.0/	Digitising	Trace digitising tool
    17	/en/qgis/version/2.14.0/	Data Management	Removal of SPIT plugin
    18	/en/qgis/version/2.14.0/	Data Management	DXF export: option to use title instead of name as DXF layer name in application and server
    19	/en/qgis/version/2.14.0/	Data Management	Geometry type can be overridden in the vector save as dialog
    20	/en/qgis/version/2.14.0/	Data Management	Vector joins are now saved within QLR layer-definition-files
    21	/en/qgis/version/2.14.0/	Data Management	External Resource widget
    22	/en/qgis/version/2.14.0/	Data Management	N:M relation editing
    23	/en/qgis/version/2.14.0/	Layer Legend	Paste a style to multiple selected layers or to all layers in a legend group
    24	/en/qgis/version/2.14.0/	Layer Legend	New options for filtering legend elements
    25	/en/qgis/version/2.14.0/	Layer Legend	Filter legend by expression
    26	/en/qgis/version/2.14.0/	Map Composer	Additional paths for composer templates
    27	/en/qgis/version/2.14.0/	Map Composer	Multiple selection of compositions in manager
    28	/en/qgis/version/2.14.0/	Analysis Tools	More statistics available in merge attributes tool
